sentiment,label,content
love,1,@Penguin_J heehee. i love you! i am tired.
love,1,I love my dog so much.
love,1,@hotnizz WAH! Sayang...
love,1,Awww the boys have no beards?    I LIKED THEIR MANLY MAN-NESS [via @zepinklady] #asylm
love,1,"oh noes, my puma hoodie is coming apart  i love this thing!"
love,1,"@mitchelmusso Think you should do a tour in England, we dont got to see any aweomse people !!"
love,1,I KnO they're my guilty pleasure like shopping   @diorchick0420
love,1,@Kellyke28 You poor thing  Hang in there. -xxx- luf joe
love,1,awwww!  i love simon being bossy &quot;we'll find the time somewhere&quot;
love,1,@BrandFancier bitter?  why? *hug* xx
love,1,Just sitting waiting for my husband to get home
love,1,@Crazy_Cindy  BIG HUGGS
love,1,"Muffins: Muffins are delicious, Muffins are neat, I have no more muffins to eat."
love,1,@the5thletter i love dixie kitchen's peach wings and fried green tomatoes  i hope the one by river oaks stay open.
love,1,@MYoungPSU  i must have just missed you. I was down there until 9:40 or so. Not sure if I'll make it down again
love,1,i wanna be love drunk
love,1,i love my new phone but hate that i didnt get my netbook today...
love,1,Feelin a little blue tonight.. Love might be good
love,1,i'm listening butterfly fly away  daddy i lov u mamma i lov ya
love,1,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc"
love,1,@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you good luck
love,1,going to the library. I miss u already!
love,1,"Every time I hear someone from Vancouver, it makes me follow them. I'm hopelessly in love with #vancouver"
love,1,Had wonderful company and a not so bad salad today at McDonalds for lunch. Now headed to my doctor's appt. booh hiss!
love,1,OMGoodness back to school soon FUN!
love,1,"Goood Dayy  Beeen shopping, didn't get what I wanted though  But my best friend has comeeee homeeee!! XD Ily Shannii x"
love,1,Zach G. gets an extensive profile in this weekend's NY Times Magazine. The chances of us falling in love are getting fewer and fewer.
love,1,@miztrouble89 love you loads hun ) hot weather gutted i aint with you now chillaxing  but we got tomoz  xxxx
love,1,"@cultofdusty thats what i love about you, you are as SHAMELESS as i am lol and no  not yet..but it aint over yet either lol #frehleyfriday"
love,1,watchin' a moovie...and im sited about going 2 ma friend Sara's tomorrow at 9:00 a.m. She was injured   I luv ya'll. i will keep u updated
love,1,"@MandyyJiroux ah it doesnt work for me  but i just want to say i love the beach girl, you guys are acee! england loves you (: xx"
love,1,@adlounge  Hey! Wanted to confirm we're still meeting at Rivoli @ 6pm?  I can only stay for an hour and a bit  #adlounge
love,1,@TaylaMe3 id poke u...on face book but u dont have 1  lol
love,1,awww holly  shes so cute! i hope they let her sing again!
love,1,@babyblueonline omg I'm so sorry to hear that!  If you really need to talk to someone I'm always on here. I'm a shoulder you lean on
love,1,yay that was good umm reggie perrin next.. oh who cares no1's watching bbc1  lol
love,1,@murdeek  i met him! hes from where i live !!! he goes clubbing the same places lol! i dont get twittter
love,1,"@JonasBrothers MY FAV. SONG IS UH...honestly, its rude for u to make us choose.  lol I love 'em all!"
love,1,@ddlovato hey! im a fan form Puerto Rico .. can'wait for your next CD ... xoxoxoxo Come back on tour here please  !!
love,1,"@marjorielu MISS YOU, TOO!"
love,1,"i forgot to put my work clothes in the dryer  also, i love my new slippers!"
love,1,"can't wait to watch the Tonight Show, this evening last one with Jay"
love,1,@lizzie123x aww sweetie  you could always take a break and read or write something happier that'll make you feel better
love,1,"@selenagomez Hey selena, i'm your brazilian fan, and i love you so much. you're my inspiration, please, reply me"
love,1,kewl the JB chat was awesome. I had to miss lots of it though cause i had 2 go 2 skewl
love,1,@TheKJA finished listening to Last Days of Krypton's audio book! Loved it...so sad though...
love,1,aww bless her  give her a chance ..
love,1,@Famousnae i know.  i would of gone to red river but i forgot bout it and was tired from work. we need a donut hole eating date soon!
love,1,"@LILPARADIVA @spookyjenb and Em, my baby, starts kindergarten.  What a crazy summer it's going to be."
love,1,"@IkramShahnawaz Oh I love 'em, but when I think about the kind of preservatives they're using to stay &quot;just-baked&quot; it kinda makes me sick"
love,1,@Alexandria_Lee I loveee and missss my annie!!
love,1,"hey @mitchelmusso please reply me, i can't call you im from Mexico and i don't know the code  love you"
love,1,"@jamasweetie06 see...u shouldn't be comin' 4 the city, u should be comin' 4 me"
love,1,@ChrisandCal Thats soooo pretty. Mine havnt flowered for years
love,1,joe: 2.30pm Kevin pics up a new pair of pjs :') PMSL i could have died!!! lmfaoo :') I MISS MY BOYS
love,1,aww @iCONtips you are too kind!! Hi sweetie! Are you guys out partying without me   I'm the only person who came to work 2nite lol
love,1,"@NiickJonas you are too, must be very nice city, you should have more girls to their feet!"
love,1,if i had one wish it would be for my friend J to not have to work
love,1,"@RikkAlaniz I'm glad he didn't get too hurt, I know some bad things can happen on motorcycles  you and everyone else are okay too, right?"
love,1,"@TrixieStilletto Oh, sweetie, I'm so sorry.  That's the last thing you needed right now. *hugs*"
love,1,"Graduation tonight  I'm gonna miss my boys...Mikey, Dustin, Miles, Charlie, Travy, Nicky, John, Jake, all my boys...I love you guys"
love,1,@HH4764 ...and there I miss you.
love,1,@Welshracer I loved him and he was in a mini
love,1,@Dichenlachman oh I love oreos!! U can't get many varieties in the uk
love,1,@unahealy i want to see you on tour!
love,1,"Going home  but when i get home , BLACK BERRY ! WOO HOO  . . . and get to see presten ! &lt;3"
love,1,Awwwww  HE JUST WANTS A HUG!!!
love,1,"@crpitt    I am sending healthy, healing thoughts in the mumborg's direction."
love,1,@SexySkins Miss you!!
love,1,"@tommcfly It's 12AM! @buonotomato, @bluejeriberry and I are still up, sending you as much tweets as we can! Philippines tour please?"
love,1,NOOOO!!!  &quot;thehannabeth: i have a crush... ;)&quot;
love,1,getting my new cellphone on wednesday! the LG Voyager! its soo sweet! i can't wait that long though
love,1,"the scrubs finale was beautiful, just so so perfect. can't believe they're gonna do another season"
love,1,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
love,1,"@Td_keepsitreal haha awe. Well right now, I could be at home but I have to be here. It's horrible  Lol"
love,1,"good time Rocking out @ open mic, thanks 4 all the love n support. Now working on Business plan presentation. No CG again 2nite"
love,1,@mattpro13 Maatt Havent spoken to you in ages dudeee  Dont forget bout ur Aussie fan  ;) lool. Love ya xx
love,1,Wow one of the nicest patients I've ever had! He's being deplyod to falouga-Iraq n-week
love,1,"@thoughtmecca still on track to move back, albeit in 2-3 years.  However, my buddy Jen is now moving with me, so we're on a FAST track!"
love,1,"@kaylee2o3 HA! finally found someone I know! happy summer Kaylee, too bad I dont get to kick next to you anymore"
love,1,@SilveryBeing  *hug*
love,1,"@effyobie LOL. dood, i love you and miss you."
love,1,@Auggie5000 lmao boss ross don't come on out here  I love that man he was the truth
love,1,"little beetle not feeling any love  Searches are bring up zilch, bar 2 peeps that appear funny !!!"
love,1,@Mpisthename Kisses! or its screwed. i'll be a raggy old cat woman ha i'm pretty sure of it
love,1,@AYoungOne Yep that one works. I LOVE Potbelly but I can't get it in AZ  Have to wait for my Chi-town trips @PotbellySdchWks
love,1,I love music so much that i've gone through pain to play :S my sides of my fingers now are peeling and have blisters from playing so much
love,1,"@miligosa how fun!! I like the beach, but I tend to get really dark fast."
love,1,@NicoleApparatus no you can't. no you can't.   i'm just kidding. that was mean. i love you.
love,1,Dropped off Baby A for her 1st day in the Toddler Room this AM.  She's officially a toddler.  Growing up way too fast
love,1,@LaurenConrad    the hills is gunna be so different!! gl with your designing etc.
love,1,i love mandy moore so much  and also angela
love,1,aw. nick got his heart broken.  poor baby. i love you!
love,1,"@tommcfly i miss so much the old animations... i really loved Hercules, from Disney. haha by the way, awesome show yesterday, guys.  Xx"
love,1,Ahh... I love Chinese music. Haha.  Not gonna see my luff til Thursday...
